PLAYER,TEAM,INJURY1,INJURY2,STATUS,DATE1,DATE2,DAYS,CASH EARNED,first_name,last_name,key_mlbam,key_retro,key_bbref,key_fangraphs,mlb_played_first,mlb_played_last,DATE1_NEW,DATE2_NEW,Year
Masahiro Tanaka,,,Healthy,,,,,,masahiro,tanaka,547888,tanam001,tanakma01,15764,2014,2020,,,2019
Homer Bailey,,,Healthy,,,,,,homer,bailey,456701,bailh001,baileho02,8362,2007,2020,,,2019
Jon Lester,,,Healthy,,,,,,jon,lester,452657,lestj001,lestejo01,4930,2006,2020,,,2019
Yu Darvish,,,Healthy,,,,,,yu,darvish,506433,darvy001,darviyu01,13074,2012,2020,,,2019
Anthony DeSclafani,,,Healthy,,,,,,anthony,desclafani,543101,desca001,desclan01,13050,2014,2020,,,2019
Brett Anderson,,,Healthy,,,,,,brett,anderson,474463,andeb004,anderbr04,8223,2009,2020,,,2019
Tanner Roark,,,Healthy,,,,,,tanner,roark,543699,roart001,roarkta01,8753,2013,2020,,,2019
Jakob Junis,,,Healthy,,,,,,jakob,junis,596001,junij001,junisja01,13619,2017,2020,,,2019
Walker Buehler,,,Healthy,,,,,,walker,buehler,621111,buehw001,buehlwa01,19374,2017,2020,,,2019
Anibal Sanchez,,,Healthy,,,,,,anibal,sanchez,434671,sanca004,sanchan01,3284,2006,2020,,,2019
Joey Lucchesi,,,Healthy,,,,,,joey,lucchesi,664192,luccj001,lucchjo01,19320,2018,2020,,,2019
Mike Soroka,,,Healthy,,,,,,mike,soroka,647336,sorom001,sorokmi01,18383,2018,2020,,,2019
James Paxton,,,Healthy,,,,,,james,paxton,572020,paxtj001,paxtoja01,11828,2013,2020,,,2019
Eric Lauer,,,Healthy,,,,,,eric,lauer,641778,lauee001,lauerer01,19316,2018,2020,,,2019
Trent Thornton,,,Healthy,,,,,,trent,thornton,663423,thort002,thorntr01,17948,2019,2020,,,2019
Daniel Norris,,,Healthy,,,,,,daniel,norris,596057,norrd002,norrida01,13475,2014,2020,,,2019
Martin Perez,,,Healthy,,,,,,martin,perez,527048,perem004,perezma02,6902,2012,2020,,,2019
Jason Vargas,,,Healthy,,,,,,jason,vargas,450306,vargj001,vargaja01,8044,2005,2019,,,2019
Clayton Kershaw,,,Healthy,,,,,,clayton,kershaw,477132,kersc001,kershcl01,2036,2008,2020,,,2019
Brad Keller,,,Healthy,,,,,,brad,keller,641745,kellb003,kellebr01,15734,2018,2020,,,2019
Jordan Lyles,,,Healthy,,,,,,jordan,lyles,543475,lylej001,lylesjo01,7593,2011,2020,,,2019
Caleb Smith,,,Healthy,,,,,,caleb,smith,592761,smitc006,smithca03,14875,2017,2020,,,2019
Kenta Maeda,,,Healthy,,,,,,kenta,maeda,628317,maedk001,maedake01,18498,2016,2020,,,2019
Chris Paddack,,,Healthy,,,,,,chris,paddack,663978,paddc001,paddach01,20099,2019,2020,,,2019
Chris Bassitt,,,Healthy,,,,,,chris,bassitt,605135,bassc001,bassich01,12304,2014,2020,,,2019
Antonio Senzatela,,,Healthy,,,,,,antonio,senzatela,622608,senza001,senzaan01,15488,2017,2020,,,2019
Domingo German,,,Healthy,,,,,,domingo,german,593334,germd001,germado01,17149,2017,2019,,,2019
Michael Wacha,,,Healthy,,,,,,michael,wacha,608379,wachm001,wachami01,14078,2013,2020,,,2019
Andrew Cashner,,,Healthy,,,,,,andrew,cashner,488768,casha001,cashnan01,8782,2010,2019,,,2019
Trevor Richards,,,Healthy,,,,,,trevor,richards,670950,richt001,richatr01,19309,2018,2020,,,2019
Danny Duffy,,,Healthy,,,,,,danny,duffy,518633,duffd001,duffyda01,3542,2011,2020,,,2019
Vince Velasquez,,,Healthy,,,,,,vince,velasquez,592826,velav001,velasvi01,11189,2015,2020,,,2019
Glenn Sparkman,,,Healthy,,,,,,glenn,sparkman,642098,sparg001,sparkgl01,15200,2017,2020,,,2019
Brandon Woodruff,,,Healthy,,,,,,brandon,woodruff,605540,woodb005,woodrbr01,16162,2017,2020,,,2019
CC Sabathia,,,Healthy,,,,,,cc,sabathia,282332,sabac001,sabatc.01,404,2001,2019,,,2019
Tyler Beede,,,Healthy,,,,,,tyler,beede,595881,beedt001,beedety01,16981,2018,2019,,,2019
Zach Plesac,,,Healthy,,,,,,zach,plesac,668676,plesz001,plesaza01,19979,2019,2020,,,2019
